연번,업소명,소재지(도로명),소재지전화번호,주된음식,주차대수,수용인원,데이터기준일자
1,그물과물고기,강원도 원주시 문막읍 동화공단로 164,033-734-1879,"대나무통,약수돌솥밥",11,40,2021-08-31
2,도누팜,강원도 원주시 금불2길 13 (단계동),033-732-9222,한우특수모듬,2,40,2021-08-31
3,옛골가든,강원도 원주시 문막읍 귀문로 1375,033-732-4326,"오리전골,토종닭",10,40,2021-08-31
4,오대산산채정식,강원도 원주시 남산로 105 (일산동),033-732-0725,산채정식,15,70,2021-08-31
5,오색막국수,강원도 원주시 흥양로 92 (태장동),033-744-8392,막국수,50,150,2021-08-31
6,현대숯불갈비,강원도 원주시 장미공원길 43-4 (단계동),033-742-0295," 소,돼지갈비",20,100,2021-08-31
7,늘봄공원,강원도 원주시 고문골길 105 (행구동),033-747-6667,"갈비,등심",30,120,2021-08-31
8,옛터숯불갈비,강원도 원주시 북원로2507번길 31 (우산동),033-748-4858,"삼겹살,갈비",8,100,2021-08-31
9,운채,강원도 원주시 고문골길 47 (행구동),033-747-1994,토속음식,20,70,2021-08-31
10,천진함흥냉면,강원도 원주시 원문로 126 (단계동),033-744-7070,냉면,25,180,2021-08-31
11,서강염소탕한우갈비살,강원도 원주시 남원로469번길 11 (명륜동),033-762-3838,염소요리,4,90,2021-08-31
12,여수해물촌,강원도 원주시 북원로2485번길 26 (우산동),033-746-4700,해물탕,4,50,2021-08-31
13,태기산막국수,강원도 원주시 소초면 장수1로 301,033-732-8987,막국수,50,92,2021-08-31
14,연화산,"강원도 원주시 구곡길 25 (단구동, 외1)",033-763-9945,짜장면,4,50,2021-08-31
15,돌마루,강원도 원주시 문막읍 동화택지길 3-23,033-747-3733,"등심,돼지갈비,삼겹살",6,54,2021-08-31
16,원주복추어탕,"강원도 원주시 치악로 1748 (개운동, 406-13,14)",033-763-7987,추어탕,3,80,2021-08-31
17,고려원,"강원도 원주시 행가리1길 14 (무실동, 외3필지)",033-766-2233,"등심,갈비살",50,150,2021-08-31
18,밤골식당,"강원도 원주시 흥업면 북원로 1608, 지상1,2층",033-763-6556,삼계탕,50,200,2021-08-31
19,양반네,강원도 원주시 장미공원길 47-12 (단계동),033-744-4555,"등심,갈비",8,80,2021-08-31
20,제주본가,강원도 원주시 소초면 흥양로 240,033-732-2488,"갈비,등심",40,200,2021-08-31
21,임꺽정쌀보리밥부페,"강원도 원주시 일산로 29 (일산동, 외2필지)",033-748-8427,쌀보리밥부페,60,160,2021-08-31
22,(주)위더스파크밸리레스토랑,"강원도 원주시 소초면 바우실길 281, 2층",033-731-4811,한식,200,290,2021-08-31
