"식품인증업소 관리 일련번호","업소번호","업소 명","자치구 코드","자치구 명","업종 코드","업종 명","업태 코드","업태 명","업주 명","식품인증구분","식품인증 구분명","인증일자","사용여부","지도표시여부","식품인증업소 등급","지도 Y좌표","지도 X좌표","전화번호","도로명상세주소","도로명주소코드","도로명주소","허가번호","최초작성일자","최종수정일자","업소인증메뉴","교부번호","인증여부"
"13689","","대가순대","3060000","중랑구","101","일반음식점","10101","한식","조평수","04","저염실천음식점","2020-12-31","Y","Y","","37.5989193","127.1006776","02-437-8494","","","서울특별시 중랑구 용마산로 538","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","순대국","","Y"
"13688","","족발야시장","3060000","중랑구","101","일반음식점","10101","한식","조주현","04","저염실천음식점","2020-12-31","Y","Y","","37.5995322","127.078508","02-2207-4969","","","서울특별시 중랑구 동일로129길  22 2층","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","시원한콩나물국","","Y"
"13687","","망우정식","3060000","중랑구","101","일반음식점","10101","한식","조염형","04","저염실천음식점","2020-12-31","Y","Y","","37.5991926","127.0998816","02-438-3918","","","서울특별시 중랑구 용마산로115길 8","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","순두부찌개","","Y"
"13684","","산골 소한마리 돼지 정육식당","3060000","중랑구","101","일반음식점","10101","한식","정용현","04","저염실천음식점","2020-12-31","Y","Y","","37.5892555","127.087161","02-496-0333","","","서울특별시 중랑구 면목로  417","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","된장찌개","","Y"
"13685","","신담터추어탕","3060000","중랑구","101","일반음식점","10119","탕류","정형태","04","저염실천음식점","2020-12-31","Y","Y","","37.6169726","127.0791877","070-8154-3776","","","서울특별시 중랑구 공릉로 73","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","추어탕","","Y"
"13686","","남한강물고기","3060000","중랑구","101","일반음식점","10119","탕류","정호영","04","저염실천음식점","2020-12-31","Y","Y","","37.6049424","127.1083404","02-434-6644","","","서울특별시 중랑구 양원역로8길 26(망우동)","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","매운탕","","Y"
"13690","","삼웅수산","3060000","중랑구","101","일반음식점","10119","탕류","조해일","04","저염실천음식점","2020-12-31","Y","Y","","37.5979786","127.0978352","02-495-5534","","","서울특별시 중랑구 용마산로113길 31","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","매운탕","","Y"
"13694","","능이버섯백숙","3060000","중랑구","101","일반음식점","10119","탕류","황재정","04","저염실천음식점","2020-12-31","Y","Y","","37.6136139","127.0783116","02-971-2162","","","서울특별시 중랑구 공릉로 32(B01호 묵동 공감대아파트)","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","삼계탕","","Y"
"13692","","골짝마을","3060000","중랑구","101","일반음식점","10101","한식","최안임","04","저염실천음식점","2020-12-31","Y","Y","","37.6031512","127.0955644","02-436-5589","","","서울특별시 중랑구 신내로  45 202","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","삼계탕","","Y"
"13693","","맹돌이생선구이쌈밥","3060000","중랑구","101","일반음식점","10101","한식","홍미혜","04","저염실천음식점","2020-12-31","Y","Y","","37.5983243","127.097095","02-491-8221","","","서울특별시 중랑구 용마산로115길 59","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","미역국","","Y"
"13691","","남원골","3060000","중랑구","101","일반음식점","10101","한식","주향심","04","저염실천음식점","2020-12-31","Y","Y","","37.5944082","127.0951833","02-434-5677","","","서울특별시 중랑구 봉우재로 200","","2022-01-13 10:39:02.0","2022-01-13 10:39:02.0","순대국","","Y"
"13657","","다사랑 회센터","3060000","중랑구","101","일반음식점","10104","일식","박정희","04","저염실천음식점","2020-12-31","Y","Y","","37.5926388","127.0749921","070-4036-3303","","","서울특별시 중랑구 중랑천로12길 36(1층 상봉동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","생선매운탕","","Y"
"13650","","재우해양수산","3060000","중랑구","101","일반음식점","10104","일식","김효준","04","저염실천음식점","2020-12-31","Y","Y","","37.598317","127.0949547","02-493-3389","","","서울특별시 중랑구 용마산로115길  98","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","매운탕","","Y"
"13671","","상봉갈비","3060000","중랑구","101","일반음식점","10101","한식","이상원","04","저염실천음식점","2020-12-31","Y","Y","","37.6002231","127.1038669","02-496-5607","","","서울특별시 중랑구 망우로  466","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","물냉면","","Y"
"13666","","부자돼소","3060000","중랑구","101","일반음식점","10101","한식","연지용","04","저염실천음식점","2020-12-31","Y","Y","","37.5926527","127.0871874","02-438-8868","","","서울특별시 중랑구 봉우재로  126 1층","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","된장찌개","","Y"
