시군구,지정년도,지정번호,신청일자,지정일자,업소명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(제곱미터),행정동명,급수시설구분,소재지전화번호
강남구,2021,1,2010-07-30,2021-11-16,대청가든,서울특별시 강남구 개포동 13-3 미씨860오피스텔1층122호 ,19990106199,한식,한우,220.16,일원2동,상수도전용,  02-3413-5566
강남구,2021,2,2010-02-10,2021-11-16,원조닭칼국수,서울특별시 강남구 개포동 1193-7 지상1층 ,20050107548,분식,분식,86,개포4동,상수도전용,  02-3461-4424
강남구,2021,3,2014-10-06,2021-11-16,원조본점닭한마리,서울특별시 강남구 개포동 1193-7 ,19990106791,한식,닭,106.22,개포4동,상수도전용,  02-3461-4422
강남구,2021,4,2010-02-10,2021-11-16,논골집,서울특별시 강남구 개포동 1197 지상1층 ,20020106408,한식,한식,148.5,개포4동,상수도전용,  02-3461-7071
강남구,2021,5,2016-11-25,2021-11-16,흙향,서울특별시 강남구 개포동 1197-2 지상2층 ,20130105703,한식,한정식,572.8,개포4동,상수도전용,  02-3495-0092
강남구,2021,6,2014-10-06,2021-11-16,리엔,"서울특별시 강남구 개포동 1214-1,8 지상1층 ",20000105230,중국식,자장면,202,개포4동,상수도전용,  02- 576-4888
강남구,2021,7,2016-11-25,2021-11-16,밀란,서울특별시 강남구 개포동 1215-0 지상1층101호 ,20040107931,한식,면류,128.76,개포4동,상수도전용,  02- 507-1080
강남구,2021,8,2010-02-10,2021-11-16,황금돼지,서울특별시 강남구 개포동 1216-10 ,19930106075,한식,구이,114.33,개포1동,상수도전용,  02- 577-6667
강남구,2021,9,2014-10-06,2021-11-16,원조소금구이,서울특별시 강남구 개포동 1218-3 광림빌딩 1층 ,20130107452,한식,소금구이,215.6,개포1동,상수도전용,
강남구,2021,10,2014-10-06,2021-11-16,춘천명물닭갈비,서울특별시 강남구 개포동 1231-6 ,20060105651,한식,닭갈비,141,개포4동,상수도전용,
강남구,2021,11,2017-10-10,2021-11-16,금홍짬뽕,서울특별시 강남구 논현동 10-5 ,19920106166,중국식,중국음식,109.78,논현1동,상수도전용,
강남구,2021,12,2010-02-10,2021-11-16,김수사,서울특별시 강남구 논현동 4-19 ,19860105442,일식,일식,107.83,논현1동,상수도전용,  02-0547-5221
강남구,2021,13,2010-02-10,2021-11-16,신사뻘낙지,서울특별시 강남구 논현동 4-7 지상1층 ,20010107501,한식,낙지,125.62,논현1동,상수도전용,  02-3448-3392
강남구,2021,14,2010-02-10,2021-11-16,한성국수,서울특별시 강남구 논현동 62-13 ,19850105219,분식,칼국수,119.54,논현2동,상수도전용,  02-0544-0540
강남구,2021,15,2016-11-25,2021-11-16,봉산집,서울특별시 강남구 논현동 62-3 지상1층 ,20090107201,일식,차돌박이된장찌개,400.67,논현2동,상수도전용,
강남구,2021,16,2010-02-10,2021-11-16,마포숯불갈비,서울특별시 강남구 논현동 62-6 ,19980107219,한식,돼지갈비,347.15,논현2동,상수도전용,  02- 516-1522
강남구,2021,17,2010-02-10,2021-11-16,불이아,서울특별시 강남구 논현동 71-2 건설회관지하1층 ,20050106129,중국식,훠궈,393.36,논현2동,상수도전용,  02 -517 -6689
강남구,2021,18,2016-11-25,2021-11-16,음악살롱,서울특별시 강남구 논현동 88-5 ,20160106327,경양식,스파게티,247.79,논현1동,상수도전용,
강남구,2021,19,2019-09-30,2021-11-16,논현감자탕,서울특별시 강남구 논현동 90-6 ,20170105566,한식,한식,271.88,논현1동,상수도전용,
강남구,2021,20,2010-02-10,2021-11-16,한우리외식산업(주),서울특별시 강남구 논현동 91-18 ,19840105376,한식,한식,"1,729.10",논현2동,상수도전용,  02- 545-3336
강남구,2021,21,2014-10-03,2021-11-16,한서외식산업(주),"서울특별시 강남구 논현동 91-4 지하1층,지상3,4,5층 ",19940106911,한식,한정식,"1,552.07",논현2동,상수도전용,  02-0545-3334
강남구,2021,22,2018-10-01,2021-11-16,배정철 어도,서울특별시 강남구 논현동 98-12 ,19940105971,일식,일식,199.91,논현1동,상수도전용,
강남구,2021,23,2010-02-10,2021-11-16,제주서부두식당,서울특별시 강남구 논현동 115-25 ,19940106361,한식,"갈시,고등어구이",189.04,논현2동,상수도전용,  02-3446-6962
강남구,2021,24,2016-11-25,2021-11-16,차숙이 갈비,서울특별시 강남구 논현동 121 ,20110105426,한식,삼겹살,134.3,논현1동,상수도전용,  02-548 -9757
강남구,2021,25,2015-11-06,2021-11-16,주식회사 원강,서울특별시 강남구 논현동 122-18 1층 ,20110107428,한식,소고기 등심 구이,141,논현1동,상수도전용,  02-3445-1598
강남구,2021,26,2018-10-01,2021-11-16,마장동박현규(주) 1호점,서울특별시 강남구 논현동 122-25 새호시티라이프빌딩 ,20170108497,한식,한식,174.12,논현1동,상수도전용,
강남구,2021,27,2017-10-10,2021-11-16,두릉도원 북촌순두부,서울특별시 강남구 논현동 122-8 동화히스토리 1층 ,20140107128,한식,"순두부, 보쌈",129,논현1동,상수도전용,  02-565 -2792
강남구,2021,28,2018-10-01,2021-11-16,유장원보쌈,"서울특별시 강남구 논현동 129-4 지상1,2층 ",19930106590,한식,한식,255.23,논현1동,상수도전용,  02-0516-5625
강남구,2021,29,2017-10-10,2021-11-16,김태준의 탕탕집,서울특별시 강남구 논현동 141-15 ,20160105915,한식,설렁탕,162.38,논현1동,상수도전용,  02-511-3235
강남구,2021,30,2018-10-01,2021-11-16,토담김치찌개,서울특별시 강남구 논현동 141-16 ,20170108582,한식,한식,137.74,논현1동,상수도전용,
강남구,2021,31,2010-02-10,2021-11-16,취영루,서울특별시 강남구 논현동 141-2 ,19970105580,중국식,만두,711.64,논현1동,상수도전용,  02- 511-6666
강남구,2021,32,2014-10-06,2021-11-16,육갑식당,서울특별시 강남구 논현동 141-7 세일빌딩 1층 102호 ,20110106686,한식,고기구이,42.34,논현1동,상수도전용,  02- 514 -5837
강남구,2021,33,2016-11-25,2021-11-16,해랑,서울특별시 강남구 논현동 183-0 지하1층 ,20080106109,한식,해물탕,427.14,논현1동,상수도전용,  02- 544-7270
강남구,2021,34,2010-02-10,2021-11-16,남서울민물장어,서울특별시 강남구 논현동 204-3 ,19860105292,한식,장어구이,124.84,논현1동,상수도전용,  02- 544-1010
강남구,2021,35,2010-02-10,2021-11-16,토담골,서울특별시 강남구 논현동 236-4 태양빌딩 ,19960105809,한식,한정식,425.16,논현1동,상수도전용,  02- 548-5121
강남구,2021,36,2015-11-06,2021-11-16,단스시(논현점),서울특별시 강남구 논현동 238-0 지상2층 ,20070105483,일식,초밥,349.52,논현2동,상수도전용,  02-3445-1114
강남구,2021,37,2010-02-10,2021-11-16,델마르,서울특별시 강남구 논현동 248-7 지상1층 ,20050107903,경양식,음료 및 차,223.21,논현2동,상수도전용,  02-3440-8233
